Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
HDGFL2,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-940,,,,,,,,
HSD17B13,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-940,,,,,,,,
KANK4,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-1290,,,,,,,,
KRTAP19-1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-4443,,,,,,,,
KRTAP5-9,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-5100,,,,,,,,
LRRC4,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-4685-3p,,,,,,,,
LRSAM1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-4685-3p,,,,,,,,
CCDC58,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-944,,,,,,,,
BCLAF1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-342-5p,,,,,,,,
ATP5J2-PTCD1,0.011111111111111072,0.258,0.696,0.294,1,hsa-miR-4685-3p,,,,,,,,
TMEM218,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-4483,,,,,,,,
SLC17A5,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-940,,,,,,,,
SLC2A9,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-6805-3p,,,,,,,,
STAC,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-185-3p,,,,,,,,
TAF1,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-3652,,,,,,,,
TIMM22,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-1290,,,,,,,,
TIMP3,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-17-3p,,,,,,,,
TNS3,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-4685-3p,,,,,,,,
ZNF69,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-4443,,,,,,,,
TPBG,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-516a-5p,,,,,,,,
TRAK1,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-646,,,,,,,,
TRPC5,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-4313,,,,,,,,
UBA2,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-941,,,,,,,,
UFL1,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-495-5p,,,,,,,,
ZNF502,0.011111111111111072,0.244,0.693,0.277,1,hsa-miR-1290,,,,,,,,
C10orf67,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-3652,,,,,,,,
C1orf106,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-6730-5p,,,,,,,,
RPUSD2,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-1202,,,,,,,,
KCNA5,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-6730-5p,,,,,,,,
HIST1H4C,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-1224-5p,,,,,,,,
HLX,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-5572,,,,,,,,
HSD3B7,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-940,,,,,,,,
HSPG2,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-5698,,,,,,,,
IHH,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-1224-5p,,,,,,,,
IL2RB,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-7110-5p,,,,,,,,
IL7R,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-3652,,,,,,,,
ING5,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-4443,,,,,,,,
IQCE,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-4685-3p,,,,,,,,
IRF2BPL,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-940,,,,,,,,
IRF4,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4313,,,,,,,,
ISY1-RAB43,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-504-3p,,,,,,,,
ITGA5,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-17-3p,,,,,,,,
KANK1,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-646,,,,,,,,
KANSL3,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-4754,,,,,,,,
HIST1H2AD,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-4483,,,,,,,,
HIRIP3,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-4443,,,,,,,,
HEXIM1,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-17-3p,,,,,,,,
GPR45,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-4685-3p,,,,,,,,
GCNT4,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-6780a-5p,,,,,,,,
GFER,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-4472,,,,,,,,
GLB1L3,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-1227-3p,,,,,,,,
GNB2,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4472,,,,,,,,
GNB4,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-5698,,,,,,,,
GNL3,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-495-5p,,,,,,,,
GRAMD4,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-944,,,,,,,,
HDDC2,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-504-3p,,,,,,,,
GRIK2,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-7110-5p,,,,,,,,
GSE1,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-4313,,,,,,,,
GSTM3,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-5698,,,,,,,,
HARS,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-4685-3p,,,,,,,,
HBEGF,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-6805-3p,,,,,,,,
HCN2,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-4313,,,,,,,,
KBTBD11,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-1202,,,,,,,,
KCNQ3,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-4685-3p,,,,,,,,
GABRR2,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-940,,,,,,,,
KIAA0100,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-504-3p,,,,,,,,
MCMBP,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-342-5p,,,,,,,,
MCMDC2,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-6076,,,,,,,,
METTL1,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-1470,,,,,,,,
METTL6,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-5698,,,,,,,,
MKKS,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-4685-3p,,,,,,,,
MMACHC,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-342-5p,,,,,,,,
MOB3B,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-1227-3p,,,,,,,,
MOCOS,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-6805-3p,,,,,,,,
MRPL18,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-944,,,,,,,,
MRPL35,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-1185-2-3p,,,,,,,,
MRPL52,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-504-3p,,,,,,,,
MRPS17,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-6776-5p,,,,,,,,
MRS2,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-17-3p,,,,,,,,
MTHFSD,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-185-3p,,,,,,,,
MYH15,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-6776-5p,,,,,,,,
MAPT,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-6741-5p,,,,,,,,
MAPK8IP2,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-4472,,,,,,,,
MAOB,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-1290,,,,,,,,
LENG9,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-1470,,,,,,,,
KIAA1109,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-944,,,,,,,,
KIAA1644,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-504-3p,,,,,,,,
KMT2C,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-940,,,,,,,,
KYAT3,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-6793-5p,,,,,,,,
LAD1,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-4769-5p,,,,,,,,
LDOC1,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-5698,,,,,,,,
LHX5,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-4685-3p,,,,,,,,
MALL,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-17-3p,,,,,,,,
LIPH,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-1227-3p,,,,,,,,
LOXL2,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-6793-5p,,,,,,,,
LURAP1L,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-646,,,,,,,,
LY6E,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-7110-5p,,,,,,,,
LZTR1,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-4685-3p,,,,,,,,
MACROD2,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-1470,,,,,,,,
GCC1,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-17-3p,,,,,,,,
GABRG2,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-1470,,,,,,,,
C1orf147,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-1185-2-3p,,,,,,,,
CYP26B1,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-646,,,,,,,,
CDK12,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4443,,,,,,,,
CDK17,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-646,,,,,,,,
CEP19,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-941,,,,,,,,
CES3,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-6780a-5p,,,,,,,,
CITED4,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-5698,,,,,,,,
CLCN5,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-940,,,,,,,,
CLIP2,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-5698,,,,,,,,
COLCA1,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-5100,,,,,,,,
COPB2,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-1185-2-3p,,,,,,,,
CRTC1,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-1470,,,,,,,,
CSDC2,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-4443,,,,,,,,
CSNK1G2,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-4443,,,,,,,,
CTBP1,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-940,,,,,,,,
CTSB,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-944,,,,,,,,
CXCL16,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-7110-5p,,,,,,,,
CDC42SE2,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-646,,,,,,,,
CD3G,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-1227-3p,,,,,,,,
CD3E,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-3652,,,,,,,,
CASD1,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-1185-2-3p,,,,,,,,
C1orf43,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-1185-2-3p,,,,,,,,
C21orf62,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-4685-3p,,,,,,,,
C3orf33,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-940,,,,,,,,
C8orf4,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-1290,,,,,,,,
CACNA1B,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-1224-5p,,,,,,,,
CAMKK2,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-5100,,,,,,,,
CASKIN2,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4483,,,,,,,,
CD200,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-6805-3p,,,,,,,,
CCDC120,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-940,,,,,,,,
CCDC141,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-6776-5p,,,,,,,,
CCDC43,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4685-3p,,,,,,,,
CCDC50,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-5698,,,,,,,,
CCDC83,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-646,,,,,,,,
CCP110,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-6805-3p,,,,,,,,
CYBB,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4685-3p,,,,,,,,
CYSLTR2,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-4685-3p,,,,,,,,
GABPB2,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-6776-5p,,,,,,,,
DAND5,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-6776-5p,,,,,,,,
EPB42,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-6805-3p,,,,,,,,
EXPH5,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-6776-5p,,,,,,,,
FAAH,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-6730-5p,,,,,,,,
FAM110A,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-4685-3p,,,,,,,,
FAM131B,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-940,,,,,,,,
FAM167B,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-4685-3p,,,,,,,,
FASTK,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-4472,,,,,,,,
FBXO2,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-4685-3p,,,,,,,,
FCRL2,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-6776-5p,,,,,,,,
FCRL4,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-4685-3p,,,,,,,,
FERMT2,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-940,,,,,,,,
FFAR2,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-6805-3p,,,,,,,,
FOXE1,0.011111111111111072,0.377,0.7,0.467,1,hsa-miR-1470,,,,,,,,
FTH1,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-941,,,,,,,,
G6PD,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-504-3p,,,,,,,,
ENO4,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-4754,,,,,,,,
EMID1,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-5698,,,,,,,,
ELP3,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-342-5p,,,,,,,,
DMTF1,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-646,,,,,,,,
DCC,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-17-3p,,,,,,,,
DCK,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-31-3p,,,,,,,,
DECR1,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-646,,,,,,,,
DGCR8,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-4472,,,,,,,,
DHDDS,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-6780a-5p,,,,,,,,
DIRAS2,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-5698,,,,,,,,
DPPA4,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-6776-5p,,,,,,,,
ELOA,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-320b,,,,,,,,
DUSP6,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-1185-2-3p,,,,,,,,
DYNLT1,0.011111111111111072,0.296,0.7,0.346,1,hsa-miR-5100,,,,,,,,
ECHDC1,0.011111111111111072,0.355,0.7,0.433,1,hsa-miR-5100,,,,,,,,
EGF,0.011111111111111072,0.332,0.7,0.398,1,hsa-miR-940,,,,,,,,
EIF3L,0.011111111111111072,0.344,0.7,0.416,1,hsa-miR-940,,,,,,,,
ELF3,0.011111111111111072,0.283,0.7,0.329,1,hsa-miR-1224-5p,,,,,,,,
RTN4R,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-7110-5p,,,,,,,,
RPRD1B,0.011111111111111072,0.231,0.692,0.26,1,hsa-miR-504-3p,,,,,,,,
DNASE2,0.011111111111111072,0.505,0.726,0.693,1,hsa-miR-320b,,,,,,,,
RASD2,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-1224-5p,,,,,,,,
UNC45A,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-940,,,,,,,,
UQCRC1,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-320b,,,,,,,,
ADGRG3,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-3181,,,,,,,,
BHLHE22,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-1470,,,,,,,,
CACNG6,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-5100,,,,,,,,
CARF,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-495-5p,,,,,,,,
CDC123,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-1227-3p,,,,,,,,
COL27A1,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-1290,,,,,,,,
EFHC2,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-4443,,,,,,,,
FXYD2,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-941,,,,,,,,
INTS14,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-646,,,,,,,,
NLGN1,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-31-3p,,,,,,,,
NOL4,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-1202,,,,,,,,
NR3C2,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-944,,,,,,,,
PRSS45,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-940,,,,,,,,
UBA52,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-320b,,,,,,,,
TUSC5,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-504-3p,,,,,,,,
TBC1D22A,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-342-5p,,,,,,,,
GOT2,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-17-3p,,,,,,,,
TRAPPC1,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-1224-5p,,,,,,,,
VAT1L,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-1185-2-3p,,,,,,,,
XK,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-31-3p,,,,,,,,
ZNF649,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-4313,,,,,,,,
ATRN,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-4685-3p,,,,,,,,
FAT2,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-17-3p,,,,,,,,
GYPA,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-944,,,,,,,,
SYMPK,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-940,,,,,,,,
H2AFV,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-17-3p,,,,,,,,
LAMP1,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-1227-3p,,,,,,,,
MAPK3,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-320b,,,,,,,,
NOD2,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-320b,,,,,,,,
P4HA1,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-941,,,,,,,,
S100PBP,0.011111111111111072,0.115,0.611,0.121,1,hsa-miR-944,,,,,,,,
RAB37,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-17-3p,,,,,,,,
ROBO2,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-342-5p,,,,,,,,
TCEANC,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-1224-5p,,,,,,,,
RPS11,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-6805-3p,,,,,,,,
SRP14,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-646,,,,,,,,
TMEM104,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-1185-2-3p,,,,,,,,
TUBA1C,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-940,,,,,,,,
ZNF423,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-17-3p,,,,,,,,
AACS,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-1470,,,,,,,,
ATN1,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-320b,,,,,,,,
CCDC68,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-940,,,,,,,,
CDH13,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-31-3p,,,,,,,,
CEP70,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-1470,,,,,,,,
DDX39A,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-6730-5p,,,,,,,,
FNIP2,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-6076,,,,,,,,
GOLPH3,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-320b,,,,,,,,
HMX2,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-342-5p,,,,,,,,
INSL4,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-1227-3p,,,,,,,,
ITM2B,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-320b,,,,,,,,
SMPDL3B,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-4313,,,,,,,,
SLITRK3,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-504-3p,,,,,,,,
SEMA3G,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-4685-3p,,,,,,,,
CSMD2,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-495-5p,,,,,,,,
SPDL1,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-944,,,,,,,,
TBC1D9B,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-940,,,,,,,,
USP44,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-5572,,,,,,,,
ZNF221,0.011111111111111072,0.131,0.635,0.139,1,hsa-miR-17-3p,,,,,,,,
C19orf24,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-4456,,,,,,,,
C1QTNF3,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-5100,,,,,,,,
DIRC2,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-495-5p,,,,,,,,
SCARA3,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-6741-5p,,,,,,,,
ERO1B,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-1185-2-3p,,,,,,,,
GET4,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-1470,,,,,,,,
LIMS2,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-6877-5p,,,,,,,,
LINC01551,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-4754,,,,,,,,
NBEAL1,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-944,,,,,,,,
RCC1L,0.011111111111111072,0.146,0.652,0.156,1,hsa-miR-185-3p,,,,,,,,
TLL2,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-944,,,,,,,,
SLC25A40,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-944,,,,,,,,
METTL12,0.011111111111111072,0.161,0.66,0.173,1,hsa-miR-1224-5p,,,,,,,,
TIMMDC1,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-17-3p,,,,,,,,
KIF7,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-342-5p,,,,,,,,
MRPL53,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-17-3p,,,,,,,,
RITA1,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-320b,,,,,,,,
SLC23A2,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-320b,,,,,,,,
TRABD,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-17-3p,,,,,,,,
ZNF600,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-320b,,,,,,,,
AKR1B1,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-342-5p,,,,,,,,
ARL6IP5,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-31-3p,,,,,,,,
ARMC7,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-941,,,,,,,,
CNOT3,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-185-3p,,,,,,,,
ELOVL2,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-17-3p,,,,,,,,
PSMB6,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-185-3p,,,,,,,,
RIPOR1,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-342-5p,,,,,,,,
SGSH,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-941,,,,,,,,
SNAPC4,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-17-3p,,,,,,,,
IRF8,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-646,,,,,,,,
HIRA,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-17-3p,,,,,,,,
GRM4,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-1202,,,,,,,,
P2RX6,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-17-3p,,,,,,,,
CIPC,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-31-3p,,,,,,,,
DHX34,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-320b,,,,,,,,
FAN1,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-940,,,,,,,,
GLYCTK,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-940,,,,,,,,
GRPR,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-17-3p,,,,,,,,
LAMP5,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-1202,,,,,,,,
PHACTR3,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-3181,,,,,,,,
GPX2,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-17-3p,,,,,,,,
PRMT2,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-17-3p,,,,,,,,
TMEM256,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-320b,,,,,,,,
TRPM5,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-1227-3p,,,,,,,,
UCP3,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-342-5p,,,,,,,,
ZNF77,0.011111111111111072,0.0173,0.37,0.0173,1,hsa-miR-940,,,,,,,,
DDX1,0.011111111111111072,0.0343,0.443,0.0346,1,hsa-miR-342-5p,,,,,,,,
STIM2,0.011111111111111072,0.0511,0.513,0.0519,1,hsa-miR-1185-2-3p,,,,,,,,
ACADVL,0.011111111111111072,0.0675,0.534,0.0693,1,hsa-miR-31-3p,,,,,,,,
SKOR1,0.011111111111111072,0.0996,0.596,0.104,1,hsa-miR-4483,,,,,,,,
